, File Name, Addational Materialized Temporarys, Clang Trunk, Diff
93, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/VeneerElimination.cpp, 9792, 4345, 5447
94, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Profile/BoltAddressTranslation.cpp, 9720, 4402, 5318
95, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Profile/DataAggregator.cpp, 11147, 5214, 5933
96, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Profile/DataReader.cpp, 10597, 4909, 5688
97, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Profile/Heatmap.cpp, 4558, 715, 3843
98, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Profile/ProfileReaderBase.cpp, 2859, 326, 2533
99, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Profile/StaleProfileMatching.cpp, 10886, 4841, 6045
100, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Profile/YAMLProfileReader.cpp, 10274, 4643, 5631
101, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Profile/YAMLProfileWriter.cpp, 10680, 4744, 5936
102, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/BinaryPassManager.cpp, 12171, 5761, 6410
103, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/BoltDiff.cpp, 10579, 5030, 5549
104, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/DWARFRewriter.cpp, 14533, 7217, 7316
105, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/ExecutableFileMemoryManager.cpp, 9965, 4668, 5297
106, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/JITLinkLinker.cpp, 10036, 4711, 5325
107, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/LinuxKernelRewriter.cpp, 10003, 4519, 5484
108, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/MachORewriteInstance.cpp, 11580, 5508, 6072
109, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/MetadataManager.cpp, 8284, 3555, 4729
110, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/PseudoProbeRewriter.cpp, 10321, 4649, 5672
111, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/RewriteInstance.cpp, 16787, 9082, 7705
112, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Rewrite/SDTRewriter.cpp, 9837, 4400, 5437
113, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/RuntimeLibs/HugifyRuntimeLibrary.cpp, 9725, 4290, 5435
114, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/RuntimeLibs/InstrumentationRuntimeLibrary.cpp, 9783, 4347, 5436
115, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/RuntimeLibs/RuntimeLibrary.cpp, 3767, 734, 3033
116, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Target/AArch64/AArch64MCPlusBuilder.cpp, 4974, 1289, 3685
117, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Target/RISCV/RISCVMCPlusBuilder.cpp, 4567, 1059, 3508
118, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Target/X86/X86MCPlusBuilder.cpp, 10608, 5046, 5562
119, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Target/X86/X86MCSymbolizer.cpp, 9615, 4294, 5321
120, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Utils/CommandLineOpts.cpp, 3367, 469, 2898
121, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Utils/Utils.cpp, 3478, 554, 2924
122, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/runtime/hugify.cpp, 19, 0, 19
123, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/runtime/instr.cpp, 37, 0, 37
124, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/tools/bat-dump/bat-dump.cpp, 5782, 1539, 4243
125, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/tools/driver/llvm-bolt.cpp, 9315, 4050, 5265
126, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/tools/heatmap/heatmap.cpp, 9262, 4006, 5256
127, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/tools/merge-fdata/merge-fdata.cpp, 11221, 5121, 6100
128, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-apply-replacements/lib/Tooling/ApplyReplacements.cpp, 10297, 4145, 6152
129, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-apply-replacements/tool/ClangApplyReplacementsMain.cpp, 10119, 4036, 6083
130, /home/yrong/devel/llvm/benchmark/llvm-project/clang-tools-extra/clang-change-namespace/ChangeNamespace.cpp, 12138, 5701, 6437
